device;id_30;Deviceyear;num_unique;ID;YEAR;POP1;POP;SEXE;PRODUCTION_envol;START;END;ECLO;ENVOL;PERIOD;CHICKAGE;n_all_bhv;days_available;n_foraging;ratio_foraging_all;HRker95_allhadjust;HRker95_foragingHref;Hrker_foraging_hadjust;Mean_nest_dist;prop_for_month;ODBA.mG.;daily_mean_ODBA;SPEI_har_pond
190665;190665_2021_2;190665_2021;17;17_21_2;2021;44;1;M;3;25/05/2021;23/06/2021;24/04/2021;23/06/2021;2;1;1027;29,71;472;0,46;2856,066643;4098,039045;4098,039045;1840,44;45,96;294,33;0,29;0,22
200013;200013_2020_1;200013_2020;18;18_20_1;2020;17;2;M;1;28/05/2020;27/06/2020;28/05/2020;27/07/2020;1;0;1046;30,7;355;0,34;955,2183068;1523,416648;1167,470338;1002,64;33,94;223,2;0,22;0,36
200013;200013_2020_2;200013_2020;18;18_20_2;2020;17;2;M;1;28/06/2020;27/07/2020;28/05/2020;27/07/2020;2;1;994;29,68;355;0,36;27158,23883;21328,32249;7927,039341;6102,48;35,71;200,14;0,2;0,12
200013;200013_2021_1;200013_2021;19;19_21_1;2021;17;2;M;5;20/04/2021;20/05/2021;20/04/2021;19/06/2021;1;0;951;30,53;405;0,43;369,4906406;721,8448384;809,2710202;652,96;42,59;254,03;0,25;-0,79
200013;200013_2021_2;200013_2021;19;19_21_2;2021;17;2;M;5;21/05/2021;19/06/2021;20/04/2021;19/06/2021;2;1;997;29,61;425;0,43;853,5907238;1409,262052;1306,9706;925,82;42,63;250,21;0,25;0,62
200013;200013_2022_1;200013_2022;20;20_22_1;2022;17;2;M;3;19/04/2022;19/05/2022;19/04/2022;18/06/2022;1;0;973;30,59;441;0,45;1016,323499;1515,444526;923,7768772;1128,97;45,32;282,2;0,28;-0,83
200013;200013_2022_2;200013_2022;20;20_22_2;2022;17;2;M;3;20/05/2022;18/06/2022;19/04/2022;18/06/2022;2;1;989;29,63;593;0,6;4707,781686;3796,412637;2821,916746;1678,35;59,96;361,89;0,36;-0,99
200013;200013_2023_1;200013_2023;21;21_23_1;2023;17;2;M;3;02/05/2023;01/06/2023;02/05/2023;01/07/2023;1;0;961;30,66;316;0,33;1057,7035;2679,086464;1709,481522;1550,73;32,88;215,91;0,22;0,62
200013;200013_2023_2;200013_2023;21;21_23_2;2023;17;2;M;3;02/06/2023;01/07/2023;02/05/2023;01/07/2023;2;1;681;21,84;366;0,54;11305,73067;6021,72082;4441,174093;1722,39;53,74;314,83;0,31;0,02
200014;200014_2020_1;200014_2020;22;22_20_1;2020;17;2;M;1;12/05/2020;11/06/2020;12/05/2020;11/07/2020;1;0;1019;30,68;410;0,4;593,7188846;737,5189775;633,3811975;1688,81;40,24;322,17;0,32;0,81
200014;200014_2020_2;200014_2020;22;22_20_2;2020;17;2;M;1;12/06/2020;11/07/2020;12/05/2020;11/07/2020;2;1;1016;29,69;427;0,42;98,73877583;1453,364074;582,2129857;2124,34;42,03;270,83;0,27;0,2
200015;200015_2020_1;200015_2020;23;23_20_1;2020;17;2;F;2;18/04/2020;03/05/2020;03/04/2020;02/06/2020;1;0;471;15,32;181;0,38;548,6485315;742,4535722;567,3660727;1429,34;38,43;258,47;0,26;0,83
200015;200015_2020_2;200015_2020;23;23_20_2;2020;17;2;F;2;04/05/2020;02/06/2020;03/04/2020;02/06/2020;2;1;970;29,66;444;0,46;231,9302937;274,8817899;235,2942563;996,18;45,77;276,56;0,28;1,07
200015;200015_2021_1;200015_2021;24;24_21_1;2021;17;2;F;4;29/04/2021;29/05/2021;29/04/2021;28/06/2021;1;0;992;30,65;411;0,41;5,858637842;83,65945024;51,03323994;322,95;41,43;246,68;0,25;-0,64
200015;200015_2021_2;200015_2021;24;24_21_2;2021;17;2;F;4;30/05/2021;28/06/2021;29/04/2021;28/06/2021;2;1;1007;29,7;629;0,62;285,4984486;261,2394807;261,2394807;466,54;62,46;365,72;0,37;1,2
200015;200015_2022_1;200015_2022;25;25_22_1;2022;17;2;F;3;03/05/2022;02/06/2022;03/05/2022;02/07/2022;1;0;1000;30,65;373;0,37;387,3213538;727,1458448;727,1458448;897,55;37,3;248,45;0,25;-0,91
200015;200015_2022_2;200015_2022;25;25_22_2;2022;17;2;F;3;03/06/2022;02/07/2022;03/05/2022;02/07/2022;2;1;1018;29,7;579;0,57;8955,241112;11029,97965;9848,958565;3247,32;56,88;352,43;0,35;-1,05
200015;200015_2023_1;200015_2023;26;26_23_1;2023;17;2;F;2;06/05/2023;05/06/2023;06/05/2023;05/07/2023;1;0;1005;30,66;424;0,42;737,0056395;1247,434415;1123,342126;1623,54;42,19;275,9;0,28;0,54
